"Station","dec_lat","dec_lon","GMT.datetime","year","month","day","temp..degC.","salinity","DO..mg.L.","Avg.chl.a..ug.L.","NH4...uM.","PO4...uM.","NO3.NO2..uM.","NO3....uM.","NO2...uM.","Si.....uM.","c3.fluorometer","turbidity","X8.day.seascapes","monthly.seascapes","date","occ_datetime_str","occ_acantha","occ_centric","occ_ceratium","occ_chaetoceros","occ_chaetog","occ_chain2","occ_chain3","occ_chain4","occ_clado","occ_copepods","occ_decapod","occ_echino","occ_eucampia","occ_jellies","occ_larvae","occ_nocti","occ_polychaetes","occ_tricho"
"CW4",28.009,-83.08,"20221207_0500",2022,12,7,22.242,35.202,7.2013,0.913872338,0.05,0.02,0,0,0,1.79,107.04,163.2,"21",21,2022-12-07 05:00:00,"20221207_0500",0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"CW3",28.011,-82.96,"20221207_0600",2022,12,7,21.896,35.104,7.5894,4.890436984,0.225,0.035,0.035,0.025,0.01,1.485,106.84,161.72,"21",21,2022-12-07 06:00:00,"20221207_0600",0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"CW2",28.016,-82.89,"20221207_0600",2022,12,7,21.763,34.499,7.2035,1.816653992,0.2,0.02,0.08,0.03,0.05,2.11,196.6,166.32,"21",21,2022-12-07 06:00:00,"20221207_0600",0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"CW1",28.011,-82.85,"20221207_0700",2022,12,7,21.745,34.58,6.896,1.720719578,0.47,0.01,0.19,0.1,0.09,2.47,279.56,165.92,"21",21,2022-12-07 07:00:00,"20221207_0700",0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,2,0
"L1",27.304,-82.6,"20221207_1300",2022,12,7,22.855,34.897,6.311,4.610951754,0.47,0.09,0.07,0.02,0.05,4.24,689.2,173.84,"21",21,2022-12-07 13:00:00,"20221207_1300",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"L9",26.972,-83.31,"20221207_1900",2022,12,7,25.237,36.144,6.539,0.283366969,0.13,0.06,0,0,0,1.48,27.08,160.48,"3",15,2022-12-07 19:00:00,"20221207_1900",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAL6",25.938,-82.48,"20221208_0300",2022,12,8,24.989,35.945,6.4726,0.754721027,0.12,0.1,0.05,0.04,0.01,1.69,119.16,166.6,"15",15,2022-12-08 03:00:00,"20221208_0300",0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,2,0
"30",25.402,-82.21,"20221208_0900",2022,12,8,25.239,35.851,6.541,0.600560523,0.19,0.06,0.06,0.03,0.03,0.46,116.8,160.92,"15",15,2022-12-08 09:00:00,"20221208_0900",0,0,0,0,0,87,0,24,0,5,0,0,0,0,0,1,0,0
"KW4",25.019,-82.05,"20221208_1200",2022,12,8,25.247,35.584,6.461,1.124040794,0.13,0.06,0.07,0.06,0.01,2.94,145.76,161.88,"21",21,2022-12-08 12:00:00,"20221208_1200",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10",24.788,-80.86,"20221209_0400",2022,12,9,24.848,35.34,6.544,0.399264614,0.13,0.04,0.04,0.02,0.02,1.31,52.12,168.92,"21",27,2022-12-09 04:00:00,"20221209_0400",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"12",24.713,-80.83,"20221209_0500",2022,12,9,26.678,35.991,6.208,0.111461371,0.04,0.05,0.01,0.01,0,1.91,25.64,166.12,"15",3,2022-12-09 05:00:00,"20221209_0500",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9.5",24.716,-80.7,"20221209_0600",2022,12,9,25.568,36.452,6.156,0.109797769,0.29,0.06,0.02,0.02,0,1.52,19.76,165.56,"3",3,2022-12-09 06:00:00,"20221209_0600",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"9",24.762,-80.72,"20221209_0600",2022,12,9,26.72,35.941,6.291,0.129760999,0.06,0.05,0,0,0,1.66,21.72,167.6,"3",3,2022-12-09 06:00:00,"20221209_0600",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"16",24.67,-81.04,"20230111_1200",2023,1,11,21.723,34.917,6.789,1.248832516,2.4,0.04,0.14,0.12,0.02,1.67,NA,NA,"21",21,2023-01-11 12:00:00,"20230111_1200",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"18",24.597,-81.18,"20230111_1300",2023,1,11,24.62,35.966,6.278,1.046978593,0.35,0.05,0.41,0.37,0.04,1.81,NA,NA,"3",3,2023-01-11 13:00:00,"20230111_1300",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"21/LK",24.535,-81.42,"20230111_1500",2023,1,11,24.889,35.986,6.436,0.842906494,0.03,0.03,0.02,0.01,0.01,1.61,NA,NA,"15",3,2023-01-11 15:00:00,"20230111_1500",0,1,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,1
"WS",24.477,-81.72,"20230111_1800",2023,1,11,24.909,36.012,6.315,0.614989014,0.09,0.05,0.13,0.11,0.02,1.43,NA,NA,"15",3,2023-01-11 18:00:00,"20230111_1800",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"KW1",24.654,-81.9,"20230111_2200",2023,1,11,21.95416,35.1987,7.1026,0.404816935,0.34,0.02,0.03,0.02,0.01,0.92,NA,NA,"21",21,2023-01-11 22:00:00,"20230111_2200",0,0,0,7,0,0,0,0,0,20,1,0,1,2,2,0,0,0
"KW4",25.013,-82.04,"20230112_0100",2023,1,12,21.97561,35.85461,6.8809,0.248990142,0.61,0.02,0.02,0.02,0,2.82,NA,NA,"21",21,2023-01-12 01:00:00,"20230112_0100",0,0,0,4,3,0,0,0,1,7,0,0,0,0,0,3,2,2
"30",25.399,-82.21,"20230112_0400",2023,1,12,21.39411,36.08806,6.9683,0.301671798,0.12,0.02,0.01,0.01,0,0.47,NA,NA,"15",15,2023-01-12 04:00:00,"20230112_0400",0,0,0,6,0,0,0,0,2,1,4,0,0,0,0,0,0,2
"CAL6",25.938,-82.48,"20230112_0900",2023,1,12,20.803,36.326,6.9144,0.407589653,0.27,0.01,0.01,0.01,0,2.16,NA,NA,"7",7,2023-01-12 09:00:00,"20230112_0900",0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,1,1,0
"CW4",28.012,-83.08,"20230113_0200",2023,1,13,18.00621,35.97628,7.4573,0.487443953,0.26,0.02,0.04,0.03,0.01,1.18,NA,NA,"15",15,2023-01-13 02:00:00,"20230113_0200",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
"CW3",28.01325067,-82.96,"20230113_0300",2023,1,13,17.39198,34.66005,7.7765,0.47968034,0.14,0.01,0.01,0.01,0,0.13,NA,NA,"21",21,2023-01-13 03:00:00,"20230113_0300",0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6,0
"CW2",28.01701517,-82.89,"20230113_0400",2023,1,13,17.39698,34.42725,7.8179,0.667116127,1.54,0.04,0.06,0.05,0.01,0.28,NA,NA,"21",21,2023-01-13 04:00:00,"20230113_0400",0,0,0,0,1,16,0,0,0,11,0,0,1,0,4,0,2,0
"CW1",28.00995167,-82.85,"20230113_0600",2023,1,13,17.70516,34.40742,7.7156,1.241068904,0.95,0.01,0.04,0.02,0.02,0.61,NA,NA,"21",21,2023-01-13 06:00:00,"20230113_0600",0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,4,0
"TB1",27.80344367,-82.88,"20230113_0700",2023,1,13,17.38593,34.48959,7.7876,2.526501307,0.12,0.06,0.04,0.03,0.01,0.25,NA,NA,"21",21,2023-01-13 07:00:00,"20230113_0700",0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,10,0
"TB2",27.7405615,-82.93,"20230113_0800",2023,1,13,17.75044,35.50887,7.5972,3.243526371,0.19,0.11,0.07,0.06,0.01,0.58,NA,NA,"21",21,2023-01-13 08:00:00,"20230113_0800",0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,4,0
"TB3",27.67449033,-83,"20230113_1000",2023,1,13,18.23884,35.95191,7.3745,3.556843588,0.95,0.08,0.05,0.04,0.01,0.97,NA,NA,"21",21,2023-01-13 10:00:00,"20230113_1000",0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0
"TB4",27.61990417,-83.13,"20230113_1100",2023,1,13,20.671,36.267,6.89,0.689297876,0.11,0.06,0.03,0.02,0.01,1.58,NA,NA,"7",7,2023-01-13 11:00:00,"20230113_1100",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"TB5",27.61402667,-83.29,"20230113_1200",2023,1,13,21.638,36.257,6.813,0.497980284,0.04,0.07,0.02,0.01,0.01,1.73,NA,NA,"15",15,2023-01-13 12:00:00,"20230113_1200",0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"TB10",27.6090525,-83.48,"20230113_1400",2023,1,13,20.949,36.227,7.07915,0.490771215,0.09,0.06,0.01,0.01,0,1.87,NA,NA,"15",3,2023-01-13 14:00:00,"20230113_1400",0,0,0,3,0,0,0,0,0,1,0,0,0,2,1,0,1,0
"AMI9",27.18198267,-83.5,"20230113_1700",2023,1,13,22.626,36.283,6.676,0.459716766,0.25,0.06,0,0,0,1.76,NA,NA,"3",3,2023-01-13 17:00:00,"20230113_1700",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"AMI8",27.22647917,-83.41,"20230113_1800",2023,1,13,22.23,36.269,6.731,0.571180059,1.36,0.22,1.7,0.35,1.35,7.08,NA,NA,"3",3,2023-01-13 18:00:00,"20230113_1800",0,0,0,2,0,0,0,0,0,1,0,0,0,4,1,0,0,1
"AMI7",27.26868933,-83.32,"20230113_2000",2023,1,13,21.052,36.261,6.858,0.545116502,0.07,0.05,0,0,0,2.09,NA,NA,"3",3,2023-01-13 20:00:00,"20230113_2000",1,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0
"AMI6",27.304084,-83.22,"20230113_2100",2023,1,13,20.96223,36.27249,6.8023,0.495762109,0.08,0.05,0.02,0.01,0.01,2.21,NA,NA,"15",3,2023-01-13 21:00:00,"20230113_2100",0,0,0,0,0,0,0,0,0,4,0,0,0,7,1,0,1,0
"AMI5",27.332195,-83.13,"20230113_2200",2023,1,13,20.54599,36.25227,6.9058,0.634952589,0.81,0.05,0,0,0,1.67,NA,NA,"15",3,2023-01-13 22:00:00,"20230113_2200",1,0,0,0,0,0,0,0,0,4,0,0,0,6,0,1,0,0
"AMI4",27.377936,-83.03,"20230114_0100",2023,1,14,19.33499,36.16313,7.1464,1.328132272,0.2,0.06,0.02,0.01,0.01,0.97,NA,NA,"7",7,2023-01-14 01:00:00,"20230114_0100",0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0
"AMI3",27.41515,-82.93,"20230114_0300",2023,1,14,18.1635,35.82735,7.368,1.512795339,0.19,0.06,0.05,0.04,0.01,0.52,NA,NA,"7",7,2023-01-14 03:00:00,"20230114_0300",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"V3",27.032,-82.61,"20230114_1500",2023,1,14,18.144,35.523,7.236,1.546622508,0.13,0.03,0.03,0.01,0.02,0.82,NA,NA,"21",21,2023-01-14 15:00:00,"20230114_1500",0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0
"V4",26.991,-82.68,"20230114_1600",2023,1,14,18.331,35.888,7.177,1.636458595,0.09,0.02,0.01,0,0.01,0.72,NA,NA,"7",7,2023-01-14 16:00:00,"20230114_1600",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"V5",26.95,-82.74,"20230114_1700",2023,1,14,19.271,36.192,7.0921,0.89558815,0.1,0.02,0.01,0,0.01,0.87,NA,NA,"7",7,2023-01-14 17:00:00,"20230114_1700",0,0,0,2,0,0,7,0,0,2,0,0,0,0,0,1,2,0
"V6",26.915,-82.82,"20230114_1800",2023,1,14,20.21137,36.27084,6.9663,0.618870821,0.09,0.02,0.01,0,0.01,1.2,NA,NA,"15",15,2023-01-14 18:00:00,"20230114_1800",0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,1
"V7",26.877,-82.88,"20230114_1900",2023,1,14,20.374,36.271,6.912,0.593351579,0,0.08,0.09,0.08,0.01,1.44,NA,NA,"15",15,2023-01-14 19:00:00,"20230114_1900",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
"V8",26.831,-82.96,"20230114_2000",2023,1,14,21.221,36.277,6.716,0.81738339,0.05,0.08,0.09,0.08,0.01,1.96,NA,NA,"3",3,2023-01-14 20:00:00,"20230114_2000",1,0,0,3,0,0,0,0,0,1,0,0,0,6,0,0,0,0
"V9",26.732,-83.1,"20230114_2200",2023,1,14,21.53122,36.28579,6.7261,0.675977172,0.02,0.07,0.04,0.03,0.01,1.76,NA,NA,"3",3,2023-01-14 22:00:00,"20230114_2200",0,0,0,1,0,0,0,3,2,2,0,0,0,2,0,0,1,0
"GP5",26.596,-82.69,"20230115_0000",2023,1,15,20.21226,36.24444,6.9242,0.566179404,0.05,0.06,0.05,0.04,0.01,1.51,NA,NA,"15",15,2023-01-15 00:00:00,"20230115_0000",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GP5",26.596,-82.69,"20230115_0100",2023,1,15,20.21226,36.24444,6.9242,0.566179404,0.05,0.06,0.05,0.04,0.01,1.51,NA,NA,"15",15,2023-01-15 01:00:00,"20230115_0100",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"12",24.713786,-80.83,"20230117_0300",2023,1,17,24.46735,36.03165,6.425,0.529580147,0.15,0.03,0.03,0.02,0.01,1.49,NA,NA,"21",21,2023-01-17 03:00:00,"20230117_0300",1,0,0,0,0,0,0,16,4,9,0,0,0,3,0,1,2,0
"9",24.765531,-80.72368033,"20230117_0600",2023,1,17,24.29354,36.0207,6.4484,0.171905598,0.37,0.03,0.02,0.01,0.01,1.68,NA,NA,"3",21,2023-01-17 06:00:00,"20230117_0600",1,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0
"9.5",24.7180715,-80.69,"20230117_0700",2023,1,17,25.18245,36.07555,6.1323,0.312202747,0.16,0.04,0.02,0.01,0.01,1.54,NA,NA,"3",3,2023-01-17 07:00:00,"20230117_0700",0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1
"MR",25.00717317,-80.37,"20230117_1100",2023,1,17,25.633,35.832,6.278,0.536234558,0.12,0.02,0,0,0,1.61,NA,NA,"3",3,2023-01-17 11:00:00,"20230117_1100",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MR",25.00717317,-80.37,"20230117_1200",2023,1,17,25.633,35.832,6.278,0.536234558,0.12,0.02,0,0,0,1.61,NA,NA,"3",3,2023-01-17 12:00:00,"20230117_1200",0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,1
