station_id,station_class,mean_lon,mean_lat,std_lon,std_lat,line_id,line_name
L9,C,-83.3124,26.9714,0.00219089,0.000547723,L,Lido Key
MR,C,-80.37441895,25.00576611,0.004608672,0.002914457,MR,Molasses Reef
PLUME,C,-80.204,24.938,0,0,PL,PLUME
ROME4,C,-82.92165639,27.65014176,0.000724862,0.000793549,RO,ROME
ROME5,C,-82.83839213,27.65032209,0.001824124,0.001239727,RO,ROME
RP1,C,-82.21767884,26.54695871,0.002265223,0.002879085,RP,Redfish Pass
RP2,C,-82.25712392,26.55187544,0.002811263,0.001594814,RP,Redfish Pass
RP3,C,-82.33117997,26.55062371,0.00112042,0.000894233,RP,Redfish Pass
RP4,C,-82.49931508,26.57845719,0.00123493,0.001447571,RP,Redfish Pass
TB1,C,-82.8823389,27.79918265,0.005368344,0.006635342,TB,Tampa Bay
TB10,C,-83.48859375,27.61721875,0.002045599,0.002561934,TB,Tampa Bay
TB2,C,-82.92778578,27.73709832,0.00548888,0.011187729,TB,Tampa Bay
TB3,C,-82.99955551,27.67244849,0.001642364,0.002692121,TB,Tampa Bay
TB4,C,-83.13218732,27.61768279,0.002798473,0.002640996,TB,Tampa Bay
TB5,C,-83.29935568,27.61822076,0.002456805,0.001634787,TB,Tampa Bay
TB6,C,-82.857834,27.840544,0.001875811,0.000471118,TB,Tampa Bay
TB7,C,-82.9416625,27.8402715,0.00191969,0.000313501,TB,Tampa Bay
TB8,C,-83.0279915,27.842151,0.002319216,0.002483761,TB,Tampa Bay
TB9,C,-83.1360208,27.8394908,0.005448744,0.000697251,TB,Tampa Bay
UK_IN,F,-80.56500454,24.9341299,0.004578062,0.003510807,UK,Upper Keys
UK_MID,F,-80.54600172,24.91917271,0.005931293,0.008339441,UK,Upper Keys
UK_OFF,F,-80.52974079,24.89845496,0.00234691,0.000916143,UK,Upper Keys
V1,C,-82.4795619,27.10988429,0.001579632,0.001317111,V,Venice
V2,C,-82.54736068,27.07121538,0.002867063,0.001171715,V,Venice
V3,C,-82.61513514,27.03313514,0.005000901,0.002869012,V,Venice
V4,C,-82.68398917,26.99240825,0.003661847,0.002164443,V,Venice
V5,C,-82.7512973,26.95545946,0.003777601,0.003594707,V,Venice
V6,C,-82.82013915,26.91700385,0.001463677,0.003092268,V,Venice
V7,C,-82.8887027,26.87816216,0.00231978,0.002533262,V,Venice
V8,C,-82.95832432,26.83145946,0.002381107,0.001804233,V,Venice
V9,C,-83.10212821,26.73064103,0.004347894,0.001646163,V,Venice
